Particles,ll,Algorithm
500,901.1548421262759,Twisted
500,901.6198309579044,Twisted
500,900.5914608394501,Twisted
500,898.6994555900171,Twisted
500,900.3888310631249,Twisted
500,900.1105883541957,Twisted
500,901.228484266249,Twisted
500,900.5309960982999,Twisted
500,899.9713218997537,Twisted
500,899.7601534535748,Twisted
500,899.0412623557247,Twisted
500,900.4288126318942,Twisted
500,901.5176721773788,Twisted
500,901.6138030393635,Twisted
500,900.4496995284355,Twisted
500,901.3010158951865,Twisted
500,900.1969963324581,Twisted
500,899.0345387563498,Twisted
500,900.776225681706,Twisted
500,901.5561312725873,Twisted
500,899.3642001255413,Twisted
500,899.9699863611412,Twisted
500,901.7638449580489,Twisted
500,900.6195865558155,Twisted
500,900.4431841071049,Twisted
500,900.8219511287167,Twisted
500,898.655768478375,Twisted
500,900.2774044424096,Twisted
500,899.8148870297606,Twisted
500,898.7928521846083,Twisted
500,902.3927715526456,Twisted
500,901.508266716158,Twisted
500,899.6279275461904,Twisted
500,899.4014268104897,Twisted
500,903.0635588743921,Twisted
500,902.7035070382334,Twisted
500,897.7597370739293,Twisted
500,899.490450088583,Twisted
500,900.9897766489173,Twisted
500,900.9910461760157,Twisted
500,900.3873155447044,Twisted
500,900.4070703955562,Twisted
500,900.0385170054659,Twisted
500,900.8799690992666,Twisted
500,900.205579199473,Twisted
500,900.0669470071034,Twisted
500,901.5733024616163,Twisted
500,899.8414308221359,Twisted
